,DA_Revenue,ID_Revenue,DA_Cost,ID_Cost,Total_Profit,Profit [EUR/kW]
Scenario_0,5767443.12301463,11965.538143232823,0.0,-1029507.1012751418,6808915.762433004,68.08915762433004
Scenario_1,5767443.12301463,11965.538143232823,0.0,-1029507.1012751418,6808915.762433004,68.08915762433004
Scenario_2,5767443.12301463,11965.538143232823,0.0,-1029507.1012751418,6808915.762433004,68.08915762433004
Scenario_3,5767443.12301463,11965.538143232823,0.0,-1029507.1012751418,6808915.762433004,68.08915762433004
Scenario_4,6054184.277015639,-732.8255869733775,0.0,-1787577.9243434963,7841029.375772161,78.4102937577216
Scenario_5,6054184.277015639,-732.8255869733775,0.0,-1787577.9243434963,7841029.375772161,78.4102937577216
Scenario_6,6054184.277015639,-732.8255869733778,0.0,-1787577.9243434963,7841029.375772161,78.4102937577216
Scenario_7,6054184.277015639,-732.8255869733778,0.0,-1787577.9243434963,7841029.375772161,78.4102937577216
Scenario_8,5782368.837225435,14275.253625599664,0.0,-1489365.4287993105,7286009.519650346,72.86009519650347
Scenario_9,5782368.837225435,14275.253625599664,0.0,-1489365.4287993105,7286009.519650346,72.86009519650347
Scenario_10,5782368.837225435,14275.253625599664,0.0,-1489365.4287993105,7286009.519650346,72.86009519650347
Scenario_11,5782368.837225435,14275.253625599664,0.0,-1489365.4287993105,7286009.519650346,72.86009519650347
Scenario_12,5485957.9749922985,-7244.788563066153,0.0,-1022523.0642904822,6501236.250719715,65.01236250719715
Scenario_13,5485957.9749922985,-7244.788563066153,0.0,-1022523.0642904822,6501236.250719715,65.01236250719715
Scenario_14,5485957.9749922985,-7244.788563066153,0.0,-1022523.0642904822,6501236.250719715,65.01236250719715
Scenario_15,5485957.9749922985,-7244.788563066153,0.0,-1022523.0642904822,6501236.250719715,65.01236250719715
