Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar,DA_Prices
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0741914413283,9.449,0.0,0.0,45.879422587158444,0.0,45.879422587158444,0.8280516158576838,0.4823758844331914,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.19476885416987,9.449,0.0,0.0,34.8862704014529,9.449,44.335270401452895,0.5378834466210793,0.4678249710133257,0.0020469714196466424,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.30849845271698,0.0,0.0,0.0,43.22683867347417,0.0,43.22683867347417,0.5960831233133289,0.3247007175582227,0.008136353081173591,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.08165977924281,0.0,0.0,0.0,42.399369547332405,0.0,42.399369547332405,0.570284128878921,0.4646869318923622,0.003837394573464774,0.0
4,16.799200941164905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.813,58.68229023191041,0.0,0.0,0.0,16.365153641213205,0.0,41.97735458237811,0.4723331594430288,0.3632571835500089,0.0037787080939824923,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3171365906972,0.0,0.0,0.0,42.3171365906972,0.0,42.3171365906972,0.6402566458737569,0.5017157929776253,0.0,0.0
6,0.0,41.94508956814278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.94508956814278,0.5705528159479569,0.45662617234213476,0.03042614617409471,0.0
7,0.0,42.625224646979795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.625224646979795,0.5128467175201701,0.4863165731229123,0.0,0.0
8,0.0,43.382738653761756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.382738653761756,0.41133653830080247,0.5297065673749821,0.0023995983957200194,0.0
9,0.0,45.630153937357974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.630153937357974,0.3427307770389572,0.46531376739833274,0.046017521278602355,0.0
