Scenario_0,Scenario_1,Scenario_2,Scenario_3
63.219127674397626,57.43197406027097,59.05167284959764,62.42961220551945
45.03675654612663,35.77835158758126,34.66160949887778,40.437526346942676
103.91737469943364,104.86330904527988,103.51948233380413,104.20496802407072
139.81671466850102,154.18009972679087,156.2518657782976,172.63954640914383
164.2134096484627,173.89954560131676,196.2943358202116,203.72933666802194
107.44386412897586,109.3952905179115,108.15932273696211,109.60467646386616
0,0,0,0
0,0,0,0
37.777093475656464,30.358393437456478,32.057898351062015,38.293632741136584
89.98630404870545,87.02545202587942,84.60986858596719,87.71288340597862
93.89684579274387,92.28859956840445,90.51576389897063,92.88326274926341
297.37711442786065,297.3771144278607,297.3771144278607,297.37711442786065
65.50594045531898,57.86401628259727,55.54170725239845,62.052783915443165
