Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar
0,0.0,81.37704383439153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,4.0,9.449,63.28162124723308,0.0,4.0,9.449,45.879422587158444,0.7190511636252156,0.4673264842900116,0.0007709314195111459
1,0.0,72.6631159016583,0.0,0.0,0.0,0.0,0.0,0.0,0.7697742503571681,5.112,0.41,8.813,63.28162124723308,0.0,33.983619750562575,9.449,0.0,0.0,44.335270401452895,0.7472979334087645,0.4172847389367633,0.0032876629959876936
2,0.0,77.8774726039122,0.0,0.0,0.0,0.0,0.0,0.0,1.1443944880112078,5.112,0.41,8.813,97.26524099779566,9.449,50.130028418449236,0.0,0.0,0.0,43.22683867347417,0.6602110946397579,0.44722938758309966,0.004887645188574467
3,0.0,59.503017042636856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,147.3952694162449,9.449,31.43864749530445,0.0,0.0,0.0,42.399369547332405,0.7984575980128932,0.41973855360301365,0.0
4,0.0,27.64235458237811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,178.83391691154935,9.449,0.0,0.0,0.0,0.0,41.97735458237811,0.915310674526127,0.339130973863777,0.00612010132006911
5,0.0,27.925686447339988,0.0,0.0,0.0,0.0,0.0,0.0,0.056450143357215224,5.112,0.41,8.813,178.83391691154935,9.449,0.0,0.0,0.0,0.0,42.3171365906972,0.5746982810574253,0.35023629998649114,0.00024109542160913463
6,0.0,27.610089568142776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,178.83391691154935,9.449,0.0,0.0,0.0,0.0,41.94508956814278,0.6215456628230706,0.39781178317914945,0.009059093827228649
7,0.0,28.290224646979794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,178.83391691154935,9.449,0.0,0.0,0.0,0.0,42.625224646979795,0.5496216554040853,0.3569363517621499,0.006253344013288123
8,0.0,28.943259805949964,0.0,0.0,0.0,0.0,0.0,0.0,0.1044788478117917,5.112,0.41,8.813,178.83391691154935,9.449,0.0,0.0,0.0,0.0,43.382738653761756,0.4713044358565499,0.29559984483121404,0.0004462233462016697
9,0.0,31.295153937357973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,178.83391691154935,9.449,0.0,0.0,0.0,0.0,45.630153937357974,0.5661826891766453,0.2911988872217331,0.03738899043551692
10,0.0,33.98742667386271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,178.83391691154935,9.449,0.0,0.0,0.0,0.0,48.32242667386271,0.5937652473091148,0.26265077539150905,0.0573444806522802
